year,level_1,level_2,value
1998,Brides - Secondary & Below,Grooms - Secondary & Below,5510
1998,Brides - Secondary & Below,Grooms - Post-secondary,1495
1998,Brides - Secondary & Below,Grooms - University,502
1998,Brides - Post-secondary,Grooms - Secondary & Below,1476
1998,Brides - Post-secondary,Grooms - Post-secondary,1877
1998,Brides - Post-secondary,Grooms - University,1040
1998,Brides - University,Grooms - Secondary & Below,307
1998,Brides - University,Grooms - Post-secondary,577
1998,Brides - University,Grooms - University,3148
1999,Total,Grooms - Secondary & Below,7647
1999,Total,Grooms - Post-secondary,4588
1999,Total,Grooms - University,5955
1999,Brides - Secondary & Below,Grooms - Secondary & Below,5626
1999,Brides - Secondary & Below,Grooms - Post-secondary,1561
1999,Brides - Secondary & Below,Grooms - University,525
1999,Brides - Post-secondary,Grooms - Secondary & Below,1672
1999,Brides - Post-secondary,Grooms - Post-secondary,2251
1999,Brides - Post-secondary,Grooms - University,1344
1999,Brides - University,Grooms - Secondary & Below,349
1999,Brides - University,Grooms - Post-secondary,776
1999,Brides - University,Grooms - University,4086
2000,Total,Grooms - Secondary & Below,6056
2000,Total,Grooms - Post-secondary,3811
2000,Total,Grooms - University,5677
2000,Brides - Secondary & Below,Grooms - Secondary & Below,4376
2000,Brides - Secondary & Below,Grooms - Post-secondary,1201
2000,Brides - Secondary & Below,Grooms - University,456
2000,Brides - Post-secondary,Grooms - Secondary & Below,1340
2000,Brides - Post-secondary,Grooms - Post-secondary,1924
2000,Brides - Post-secondary,Grooms - University,1221
2000,Brides - University,Grooms - Secondary & Below,340
2000,Brides - University,Grooms - Post-secondary,686
2000,Brides - University,Grooms - University,4000
2001,Total,Grooms - Secondary & Below,5887
2001,Total,Grooms - Post-secondary,3877
2001,Total,Grooms - University,5436
2001,Brides - Secondary & Below,Grooms - Secondary & Below,4215
2001,Brides - Secondary & Below,Grooms - Post-secondary,1153
2001,Brides - Secondary & Below,Grooms - University,456
2001,Brides - Post-secondary,Grooms - Secondary & Below,1330
2001,Brides - Post-secondary,Grooms - Post-secondary,1911
2001,Brides - Post-secondary,Grooms - University,1099
2001,Brides - University,Grooms - Secondary & Below,342
2001,Brides - University,Grooms - Post-secondary,813
2001,Brides - University,Grooms - University,3881
2002,Total,Grooms - Secondary & Below,5519
2002,Total,Grooms - Post-secondary,4273
2002,Total,Grooms - University,6330
2002,Brides - Secondary & Below,Grooms - Secondary & Below,3733
2002,Brides - Secondary & Below,Grooms - Post-secondary,1106
2002,Brides - Secondary & Below,Grooms - University,544
2002,Brides - Post-secondary,Grooms - Secondary & Below,1345
2002,Brides - Post-secondary,Grooms - Post-secondary,2200
2002,Brides - Post-secondary,Grooms - University,1282
2002,Brides - University,Grooms - Secondary & Below,441
2002,Brides - University,Grooms - Post-secondary,967
2002,Brides - University,Grooms - University,4504
2003,Total,Grooms - Secondary & Below,4554
2003,Total,Grooms - Post-secondary,4033
2003,Total,Grooms - University,6313
2003,Brides - Secondary & Below,Grooms - Secondary & Below,2950
2003,Brides - Secondary & Below,Grooms - Post-secondary,907
2003,Brides - Secondary & Below,Grooms - University,430
2003,Brides - Post-secondary,Grooms - Secondary & Below,1219
2003,Brides - Post-secondary,Grooms - Post-secondary,2137
2003,Brides - Post-secondary,Grooms - University,1266
2003,Brides - University,Grooms - Secondary & Below,385
2003,Brides - University,Grooms - Post-secondary,989
2003,Brides - University,Grooms - University,4617
2004,Total,Grooms - Secondary & Below,3865
2004,Total,Grooms - Post-secondary,4499
2004,Total,Grooms - University,6128
2004,Brides - Secondary & Below,Grooms - Secondary & Below,2586
2004,Brides - Secondary & Below,Grooms - Post-secondary,1029
2004,Brides - Secondary & Below,Grooms - University,390
2004,Brides - Post-secondary,Grooms - Secondary & Below,936
2004,Brides - Post-secondary,Grooms - Post-secondary,2458
2004,Brides - Post-secondary,Grooms - University,1145
2004,Brides - University,Grooms - Secondary & Below,343
2004,Brides - University,Grooms - Post-secondary,1012
2004,Brides - University,Grooms - University,4593
2005,Total,Grooms - Secondary & Below,3996
2005,Total,Grooms - Post-secondary,4620
2005,Total,Grooms - University,6115
2005,Brides - Secondary & Below,Grooms - Secondary & Below,2648
2005,Brides - Secondary & Below,Grooms - Post-secondary,1101
2005,Brides - Secondary & Below,Grooms - University,377
2005,Brides - Post-secondary,Grooms - Secondary & Below,991
2005,Brides - Post-secondary,Grooms - Post-secondary,2421
2005,Brides - Post-secondary,Grooms - University,1179
2005,Brides - University,Grooms - Secondary & Below,357
2005,Brides - University,Grooms - Post-secondary,1098
2005,Brides - University,Grooms - University,4559
2006,Total,Grooms - Secondary & Below,3641
2006,Total,Grooms - Post-secondary,4946
2006,Total,Grooms - University,6712
2006,Brides - Secondary & Below,Grooms - Secondary & Below,2308
2006,Brides - Secondary & Below,Grooms - Post-secondary,1086
2006,Brides - Secondary & Below,Grooms - University,367
2006,Brides - Post-secondary,Grooms - Secondary & Below,969
2006,Brides - Post-secondary,Grooms - Post-secondary,2590
2006,Brides - Post-secondary,Grooms - University,1231
2006,Brides - University,Grooms - Secondary & Below,364
2006,Brides - University,Grooms - Post-secondary,1270
2006,Brides - University,Grooms - University,5114
2007,Total,Grooms - Secondary & Below,3424
2007,Total,Grooms - Post-secondary,4766
2007,Total,Grooms - University,7109
2007,Brides - Secondary & Below,Grooms - Secondary & Below,2119
2007,Brides - Secondary & Below,Grooms - Post-secondary,930
2007,Brides - Secondary & Below,Grooms - University,388
2007,Brides - Post-secondary,Grooms - Secondary & Below,917
2007,Brides - Post-secondary,Grooms - Post-secondary,2506
2007,Brides - Post-secondary,Grooms - University,1221
2007,Brides - University,Grooms - Secondary & Below,388
2007,Brides - University,Grooms - Post-secondary,1330
2007,Brides - University,Grooms - University,5500
2008,Total,Grooms - Secondary & Below,3106
2008,Total,Grooms - Post-secondary,4956
2008,Total,Grooms - University,7614
2008,Brides - Secondary & Below,Grooms - Secondary & Below,1904
2008,Brides - Secondary & Below,Grooms - Post-secondary,940
2008,Brides - Secondary & Below,Grooms - University,336
2008,Brides - Post-secondary,Grooms - Secondary & Below,796
2008,Brides - Post-secondary,Grooms - Post-secondary,2540
2008,Brides - Post-secondary,Grooms - University,1270
2008,Brides - University,Grooms - Secondary & Below,406
2008,Brides - University,Grooms - Post-secondary,1476
2008,Brides - University,Grooms - University,6008
2009,Total,Grooms - Secondary & Below,3075
2009,Total,Grooms - Post-secondary,5298
2009,Total,Grooms - University,8403
2009,Brides - Secondary & Below,Grooms - Secondary & Below,1832
2009,Brides - Secondary & Below,Grooms - Post-secondary,1033
2009,Brides - Secondary & Below,Grooms - University,361
2009,Brides - Post-secondary,Grooms - Secondary & Below,829
2009,Brides - Post-secondary,Grooms - Post-secondary,2599
2009,Brides - Post-secondary,Grooms - University,1348
2009,Brides - University,Grooms - Secondary & Below,414
2009,Brides - University,Grooms - Post-secondary,1666
2009,Brides - University,Grooms - University,6694
2010,Total,Grooms - Secondary & Below,2566
2010,Total,Grooms - Post-secondary,4502
2010,Total,Grooms - University,8191
2010,Brides - Secondary & Below,Grooms - Secondary & Below,1540
2010,Brides - Secondary & Below,Grooms - Post-secondary,807
2010,Brides - Secondary & Below,Grooms - University,334
2010,Brides - Post-secondary,Grooms - Secondary & Below,616
2010,Brides - Post-secondary,Grooms - Post-secondary,2132
2010,Brides - Post-secondary,Grooms - University,1264
2010,Brides - University,Grooms - Secondary & Below,410
2010,Brides - University,Grooms - Post-secondary,1563
2010,Brides - University,Grooms - University,6593
2011,Total,Grooms - Secondary & Below,2776
2011,Total,Grooms - Post-secondary,4987
2011,Total,Grooms - University,9575
2011,Brides - Secondary & Below,Grooms - Secondary & Below,1611
2011,Brides - Secondary & Below,Grooms - Post-secondary,836
2011,Brides - Secondary & Below,Grooms - University,393
2011,Brides - Post-secondary,Grooms - Secondary & Below,680
2011,Brides - Post-secondary,Grooms - Post-secondary,2403
2011,Brides - Post-secondary,Grooms - University,1403
2011,Brides - University,Grooms - Secondary & Below,485
2011,Brides - University,Grooms - Post-secondary,1748
2011,Brides - University,Grooms - University,7779
2012,Total,Grooms - Secondary & Below,2714
2012,Total,Grooms - Post-secondary,5080
2012,Total,Grooms - University,9787
2012,Brides - Secondary & Below,Grooms - Secondary & Below,1575
2012,Brides - Secondary & Below,Grooms - Post-secondary,818
2012,Brides - Secondary & Below,Grooms - University,356
2012,Brides - Post-secondary,Grooms - Secondary & Below,640
2012,Brides - Post-secondary,Grooms - Post-secondary,2416
2012,Brides - Post-secondary,Grooms - University,1401
2012,Brides - University,Grooms - Secondary & Below,499
2012,Brides - University,Grooms - Post-secondary,1846
2012,Brides - University,Grooms - University,8030
2013,Total,Grooms - Secondary & Below,2180
2013,Total,Grooms - Post-secondary,4523
2013,Total,Grooms - University,9463
2013,Brides - Secondary & Below,Grooms - Secondary & Below,1111
2013,Brides - Secondary & Below,Grooms - Post-secondary,714
2013,Brides - Secondary & Below,Grooms - University,355
2013,Brides - Post-secondary,Grooms - Secondary & Below,593
2013,Brides - Post-secondary,Grooms - Post-secondary,2059
2013,Brides - Post-secondary,Grooms - University,1309
2013,Brides - University,Grooms - Secondary & Below,476
2013,Brides - University,Grooms - Post-secondary,1750
2013,Brides - University,Grooms - University,7799
2014,Total,Grooms - Secondary & Below,2053
2014,Total,Grooms - Post-secondary,5086
2014,Total,Grooms - University,10436
2014,Brides - Secondary & Below,Grooms - Secondary & Below,993
